iter	Passed	Remaining
454	816	978
455	817	975
456	819	973
457	820	970
458	821	967
459	822	965
460	824	963
461	825	961
462	827	959
463	828	956
464	829	954
465	831	952
466	832	949
467	833	947
468	835	946
469	837	944
470	838	941
471	839	939
472	841	937
473	842	935
474	843	932
475	844	930
476	846	928
477	848	926
478	849	924
479	850	921
480	852	919
481	853	917
482	854	914
483	855	912
484	856	909
485	858	907
486	859	905
487	861	903
488	862	901
489	864	899
490	865	897
491	866	894
492	867	892
493	869	890
494	870	888
495	872	886
496	873	884
497	874	881
498	875	879
499	877	877
500	878	874
501	879	872
502	880	870
503	882	868
504	883	866
505	885	864
506	887	862
507	889	861
508	890	859
509	892	857
510	893	854
511	894	852
512	895	850
513	897	848
514	898	845
515	901	845
516	902	843
517	903	841
518	905	838
519	906	836
520	907	834
521	909	832
522	910	830
523	912	828
524	913	826
525	914	824
526	915	822
527	917	819
528	918	817
529	919	815
530	920	813
531	922	811
532	923	809
533	925	807
534	927	805
535	928	803
536	929	801
537	930	799
538	931	796
539	933	794
540	934	792
541	935	790
542	936	788
543	938	786
544	939	784
545	941	782
546	942	780
547	943	778
548	944	776
549	946	774
550	947	772
551	949	770
552	950	768
553	951	765
554	952	763
555	953	761
556	955	759
557	956	757
558	957	755
559	958	753
560	959	750
561	961	749
562	962	747
563	963	745
564	965	742
565	966	741
566	967	738
567	968	736
568	969	734
569	971	732
570	972	730
571	974	728
572	975	726
573	976	724
574	977	722
575	979	720
576	980	718
577	981	716
578	983	715
579	984	712
580	986	711
581	987	709
582	988	707
583	989	705
584	991	703
585	992	701
586	993	699
587	994	697
588	996	695
589	997	693
590	999	691
591	1001	690
592	1002	688
593	1003	685
594	1004	683
595	1006	681
596	1007	679
597	1008	677
598	1009	675
599	1011	674
600	1012	672
601	1013	670
602	1015	668
603	1016	666
604	1017	664
605	1019	662
606	1020	660
607	1021	658
608	1022	656
609	1024	655
610	1025	653
611	1026	651
612	1028	649
613	1029	647
614	1030	645
615	1031	643
616	1033	641
617	1034	639
618	1036	637
619	1037	635
620	1038	634
621	1039	632
622	1041	630
623	1042	628
624	1043	626
625	1044	624
626	1045	622
627	1046	620
628	1048	618
629	1049	616
630	1050	614
631	1052	612
632	1053	610
633	1054	608
634	1055	606
635	1057	605
636	1058	603
637	1059	601
638	1061	599
639	1062	597
640	1063	595
641	1064	593
642	1066	591
643	1067	589
644	1068	588
645	1069	586
646	1070	584
647	1072	582
648	1073	580
649	1074	578
650	1075	576
651	1077	574
652	1078	572
653	1079	571
654	1080	569
655	1082	567
656	1083	565
657	1084	563
658	1086	562
659	1087	560
660	1088	558
661	1089	556
662	1090	554
663	1092	552
664	1093	550
665	1094	548
666	1095	547
667	1096	545
668	1098	543
669	1099	541
670	1100	539
671	1101	537
672	1103	536
673	1104	534
674	1106	532
675	1107	530
676	1108	528
677	1110	527
678	1111	525
679	1112	523
680	1113	521
681	1115	519
682	1116	518
683	1117	516
684	1118	514
685	1119	512
686	1120	510
687	1121	508
688	1123	507
689	1125	505
690	1127	504
691	1128	502
692	1130	500
693	1131	498
694	1132	496
695	1133	495
696	1134	493
697	1136	491
698	1137	489
699	1138	488
700	1140	486
701	1141	484
702	1142	482
703	1144	481
704	1145	479
705	1146	477
706	1147	475
707	1149	474
708	1150	472
709	1151	470
710	1152	468
711	1154	466
712	1155	464
713	1156	463
714	1157	461
715	1158	459
716	1160	457
717	1161	456
718	1163	454
719	1164	452
720	1166	451
721	1167	449
722	1168	447
723	1169	445
724	1170	444
725	1171	442
726	1173	440
727	1174	438
728	1175	437
729	1177	435
730	1178	433
731	1179	431
732	1180	430
733	1181	428
734	1183	426
735	1184	424
736	1186	423
737	1187	421
738	1188	419
739	1189	418
740	1191	416
741	1192	414
742	1193	412
743	1194	411
744	1195	409
745	1196	407
746	1198	405
747	1199	404
748	1201	402
749	1202	400
750	1203	399
751	1204	397
752	1205	395
753	1207	393
754	1208	392
755	1210	390
756	1211	388
757	1213	387
758	1214	385
759	1215	383
760	1216	382
761	1218	380
762	1219	378
763	1220	377
764	1222	375
765	1223	373
766	1224	372
767	1226	370
768	1227	368
769	1228	367
770	1229	365
771	1231	363
772	1232	361
773	1233	360
774	1234	358
775	1235	356
776	1237	355
777	1238	353
778	1239	351
779	1240	349
780	1241	348
781	1243	346
782	1244	344
783	1245	343
784	1247	341
785	1248	339
786	1249	338
787	1251	336
788	1252	334
789	1253	333
790	1254	331
791	1255	329
792	1257	328
793	1258	326
794	1260	324
795	1261	323
796	1263	321
797	1264	320
798	1265	318
799	1266	316
800	1267	315
801	1269	313
802	1270	311
803	1271	309
804	1272	308
805	1274	306
806	1275	305
807	1277	303
808	1278	301
809	1280	300
810	1281	298
811	1282	296
812	1283	295
813	1284	293
814	1286	291
815	1287	290
816	1288	288
817	1289	286
818	1290	285
819	1292	283
820	1293	281
821	1294	280
822	1295	278
823	1296	276
824	1298	275
825	1299	273
826	1301	272
827	1302	270
828	1303	268
829	1304	267
830	1306	265
831	1307	263
832	1308	262
833	1309	260
834	1311	259
835	1312	257
836	1313	255
837	1314	254
838	1316	252
839	1317	250
840	1318	249
841	1319	247
842	1320	245
843	1321	244
844	1323	242
845	1324	241
846	1326	239
847	1327	237
848	1328	236
849	1329	234
850	1330	233
851	1332	231
852	1333	229
853	1334	228
854	1336	226
855	1337	225
856	1338	223
857	1340	221
858	1341	220
859	1343	218
860	1344	217
861	1345	215
862	1346	213
863	1347	212
864	1349	210
865	1350	208
866	1351	207
867	1352	205
868	1354	204
869	1355	202
870	1356	200
871	1357	199
872	1358	197
873	1360	196
874	1361	194
875	1362	192
876	1364	191
877	1365	189
878	1366	188
879	1367	186
880	1368	184
881	1369	183
882	1371	181
883	1372	180
884	1374	178
885	1375	176
886	1376	175
887	1378	173
888	1379	172
889	1380	170
890	1381	169
891	1382	167
892	1384	165
893	1385	164
894	1387	162
895	1388	161
896	1389	159
897	1390	157
898	1392	156
899	1393	154
900	1394	153
901	1396	151
902	1397	150
903	1399	148
904	1400	147
905	1401	145
906	1403	143
907	1404	142
908	1405	140
909	1406	139
910	1407	137
911	1409	135
912	1410	134
913	1411	132
914	1413	131
915	1414	129
916	1415	128
917	1416	126
918	1418	124
919	1419	123
920	1420	121
921	1421	120
922	1423	118
923	1424	117
924	1425	115
925	1427	114
926	1428	112
927	1429	110
928	1431	109
929	1432	107
930	1433	106
931	1435	104
932	1436	103
933	1437	101
934	1438	100
935	1439	98
936	1440	96
937	1442	95
938	1443	93
939	1444	92
940	1445	90
941	1447	89
942	1449	87
943	1450	86
944	1451	84
945	1452	82
946	1454	81
947	1455	79
948	1456	78
949	1457	76
950	1458	75
951	1460	73
952	1461	72
953	1462	70
954	1464	68
955	1465	67
956	1466	65
957	1468	64
958	1469	62
959	1470	61
960	1471	59
961	1473	58
962	1474	56
963	1476	55
964	1477	53
965	1478	52
966	1479	50
967	1480	48
968	1482	47
969	1483	45
970	1484	44
971	1486	42
972	1487	41
973	1488	39
974	1489	38
975	1491	36
976	1492	35
977	1493	33
978	1494	32
979	1495	30
980	1497	28
981	1499	27
982	1500	25
983	1501	24
984	1502	22
985	1504	21
986	1505	19
987	1506	18
988	1507	16
989	1508	15
990	1510	13
991	1511	12
992	1512	10
993	1514	9
994	1515	7
995	1516	6
996	1517	4
997	1518	3
998	1520	1
999	1521	0
